English,Japanese
8000…,8千人…
"EVERY YEAR, 8000 STUDENTS GRADUATE FROM THE 81 MEDICAL UNIVERSITIES IN THIS COUNTRY.",毎年8千人が全国に81ある大学医学部を卒業してゆく
,
"AND, OF THOSE 8000, YOU ARE THE TOP EIGHTY!",君達はその8千人のトップの80人である!
,
JAPAN'S MEDICAL FUTURE RESTS IN YOUR HANDS!!,日本の医療を背負っていくのは君達です!!
,
Eiroku University Hospial,永禄大学附属病院
,
"YOU LOOK PRETTY SLEEPY, SAITO…",眠そうだな斉藤…
"YEAH, I JUST GOT OFF MY SHIFT.",うんさっきまで当直だったから
,
I'VE BEEN HERE OVER 24 HOURS SINCE YESTERDAY MORNING.,きのうの朝からもう24時間以上ここにいるよ
"YEAH, ME TOO.",オレもさ
,
HELPING OUT WITH THE DOCTOR'S EXPERIMENTS.,教授の実験の手伝いでさ...
I ONLY SLEPT 3 HOURS…,3時間しか寝てねえ...
,
THEN I WIN.,じゃあ僕の勝ちだ
,
I ONLY SLEPT 2 HOURS!,2時間しか寝てない!
,
IT'S 3 MONTHS SINCE I GRADUATED FROM EIROKU UNIVERSITY…,永禄大学医学部卒業から3ヶ月
AND CURRENTLY I'M WORKING AS AN INTERN AT THE UNIVERSITY'S HOSPITAL.,僕は今永禄大学附属病院で研修医をしている
,
SHLUUUUUURP,ちゅうううう
,
"COME ON, SAITO!",ホラ斉藤!
DON'T MAKE THAT KINDA FACE EVERY TIME YOU GIVE AN INJECTION!,注射するのにイチイチそんな顔すんな!
,
"TO BECOME A DOCTOR, WE NEED TO STUDY AT A MEDICAL UNIVERSITY FOR 6 YEARS…",医者になるには大学で6年間医学を学び
AND THEN PASS THE NATIONAL MEDICAL PRACTITIONERS QUALIFYING EXAMINATION.,医師国家試験に合格しなければいけない
,
INTERNS ARE BASICALLY APPRENTICES.,研修医というのは要するに見習いだ
,
BUT THE NATIONAL MEDICAL PRACTITIONERS QUALIFYING EXAMINATION ONLY TESTS MEDICAL KNOWLEDGE.,ところがその国家試験は医学の知識をみるもので
THERE IS NO PRACTICAL EXAM!,実技試験などは含まれていない(!)
,
THAT'S WHY MOST GRADUATES SPEND THE NEXT 2 YEARS AS AN INTERN AT A UNIVERSITY HOPITAL.,そこで医師免許を取得したものの大半はその後2年間大学病院などで研修をする
,
"WIDEN THE INCISION, SAITO.",もっと術野を広げろ斉藤
"YES, SIR!",はい!
,
AH…,はあ…
I HATE MYSELF FOR BEING ABLE ENJOY FOOD LIKE THIS AFTER AN OPERATION.,手術の後でうまそうにメシを食ってる自分が嫌だ
,
"SAITO, I…",なあ斉藤...
"I FEEL LIKE, WITH THIS JOB, I'M LOSING MY ABILITY TO CARE FOR OTHERS…",オレはこのままでは人の心を失くしてしまう...
,
SLUUUURP,ちゅるるっ
,
WHAT ARE YOU TALKING ABOUT?,何言ってんだよ!
WE'RE THE ONES SUPPORTING JAPAN'S MEDICAL CARE!,日本の医療を支えてるのは僕達なんだぞ!
,
…,…
,
"ON AVERAGE, INTERNS WORK ABOUT 16 HOURS A DAY.",1日平均労働時間16時間
MY MONTHLY SALARY IS AN ASTOUNDING…,月給なんと…
459 DOLLERS!!!,3万8千円!!!
,
NOT MY DAILY SALARRY. MY MONTHLY SALARY.,日給ではなく月給である
,
"THAT DOESN'T MEAN MY HOSPITAL'S TREATMENT IS BAD. IT SEEMS PUBLIC HOSPITALS,",うちの病院の待遇が特別に悪いわけではない
"PAY A LITTLE MORE, BUT ROUGHLY 70% OF INTERNS AT PRIVATE UNIVERSITY HOSPITALS MAKE UNDER $1200 A MONTH.",国立ではもう少し高いらしいが私立病院の研修医の月給は10万円以下の所が約7割を占める
,
OBVIOUSLY NO ONE COULD LIVE OFF A SALARY LIKE THAT WITH FOOD AND RENT TO PAY FOR.,その給料で寮も食事もないんだから生活できるわけない
,
"WELL THEN, MR. SAITO…",それでは斉藤くん
"STARTING TODAY, YOU WILL BE STARTING A PART-TIME SHIFT AT THIS HOSPITAL.",本日は君に当院の当直のアルバイトをお願いする
,
Seido Hospital,誠同病院
,
"EIJIRO SAITO, 25 YEARS OLD…",斉藤英二郎25歳
GRADUATED FROM EIROKU UNIVERSITY'S MEDICAL DEPARTMENT.,永禄大学医学部卒...
THIS WILL BE YOUR FIRST TIME ON DUTY… WELL…,この病院の当直は初めて...と...
,
"FROM EIROKU, HUH?",永大卒か...
SO YOU'RE ONE OF THE ELITE…,エリートって奴だな...
,
"YES, SIR!",はい!
I WILL TRY MY BEST NOT TO SOIL EIROKU'S FINE REPUTATION!,永大の名に恥じぬようがんばります!
,
"SINCE TODAY'S YOUR FIRST DAY, WE ALSO HAVE SOMEONE ELSE ON DUTY.",今夜は初日という事で特別にもう一人当直がいる
ASK HIM HOW THINGS WORK AROUND HERE.,このやり方は彼に訊いてくれ
,
GLAD TO HAVE YOU ON BOARD.,ではよろしく
THIS IS THE REALITY OF BEING AN INTERN.,これが研修医の現実だ
,
PLEASED TO MEET YOU!,初めまして！
I'M SAITO AND I'M HERE FROM EIROKU AS A PART-TIME DOCTOR.,当直のバイトにやってきました永大の斉藤です
,
ROLF ROLF ROLF,ガッガッガッ
,
"UM I, UH…",あ...の...
I'M SAITO FROM EIROKU. I'M HERE FOR THE SHIFT.,永大から当直に来ました斉藤です...
,
EAT…,食っとけ...
EAT WHEN YA CAN EAT.,食える時に食っとけ…
,
AND SLEEP.,そして寝とけ
SLEEP WHEN YA CAN SLEEP.,寝れるときに寝とけ
,
NIGHT DUTY ROOM,宿直室
,
EMERGENCY ENTRANCE,救急用入口
,
SEIDO HOSPITAL. 120 BEDS.,誠同病院...ベッド数120...
A PRETTY LARGE HOSPITAL… TAKING ON THE MAJORITY OF THE AREA'S RESIDENTS… HMM…,地域の中核をになう大規模病院...か...
,
THREE DOCTORS.,勤務医は3人...
THE FIRST PERSON I MET WAS THE HOSPITAL DIRECTOR AND THAT LAST GUY WAS MR. USHIDA.,最初の人が院長でさっきの人が牛田さん
TONIGHT IT'S JUST ME AND MR. USHIDA.,今夜は僕と牛田さんの2人きり...
,
AAAHHH!,いてーよー!!
PLEASE! HELP ME!!!,いてーよー!!
HURRY! IT'S GONNA BE A WAR ZONE IN THERE!,急ぐぞ!!こっから先は戦場だ!!
"YES, SIR!",はい!!
,
